engine,symbol,session_date,start_idx,end_idx,open_time,close_time,open,high,low,close,volume,n_source_bars,notional,signed_notional,variance,log_return,reason
dollar_imbalance,M2K,2020-01-02,0,50,2020-01-02T09:30:00-05:00,2020-01-02T13:40:00-05:00,1680.4,1680.5,1654.4,1655.5,22633.0,51,37678182.86666667,-41725.0,0.0,-0.014928782307926129,budget
dollar_imbalance,M2K,2020-01-02,51,59,2020-01-02T13:45:00-05:00,2020-01-02T14:25:00-05:00,1655.6,1661.2,1655.5,1660.9,1475.0,9,2446222.833333333,5105.0,0.0,0.0031961432303759447,budget
dollar_imbalance,M2K,2020-01-02,60,71,2020-01-02T14:30:00-05:00,2020-01-02T15:25:00-05:00,1660.8,1664.6,1660.5,1664.2,1934.0,12,3216090.4333333336,3460.0,0.0,0.002045113494760048,budget
dollar_imbalance,M2K,2020-01-02,72,76,2020-01-02T15:30:00-05:00,2020-01-02T15:50:00-05:00,1664.3,1668.5,1663.2,1668.5,1823.0,5,3036971.166666667,5695.0,0.0,0.0025204045987479227,budget
dollar_imbalance,M2K,2020-01-02,77,77,2020-01-02T15:55:00-05:00,2020-01-02T15:55:00-05:00,1668.5,1670.5,1667.7,1670.4,900.0,1,1502580.0000000002,4500.0,0.0,0.001138099496890887,budget
dollar_imbalance,M2K,2020-01-03,78,78,2020-01-03T09:30:00-05:00,2020-01-03T09:30:00-05:00,1649.4,1655.7,1649.1,1655.0,1762.0,1,2913055.8666666667,8810.0,0.0,0.003389423411908254,budget
dollar_imbalance,M2K,2020-01-03,79,79,2020-01-03T09:35:00-05:00,2020-01-03T09:35:00-05:00,1655.2,1655.5,1651.3,1652.7,804.0,1,1329146.0,-4020.0,0.0,-0.0015115332845527204,budget
dollar_imbalance,M2K,2020-01-03,80,81,2020-01-03T09:40:00-05:00,2020-01-03T09:45:00-05:00,1652.5,1658.1,1651.6,1656.9,1547.0,2,2561867.1666666665,7735.0,0.0,0.0026590938494103628,budget
dollar_imbalance,M2K,2020-01-03,82,84,2020-01-03T09:50:00-05:00,2020-01-03T10:00:00-05:00,1657.0,1657.7,1652.4,1653.1,2067.0,3,3420796.633333333,-6715.0,0.0,-0.0023564253675964807,budget
dollar_imbalance,M2K,2020-01-03,85,86,2020-01-03T10:05:00-05:00,2020-01-03T10:10:00-05:00,1653.0,1659.4,1652.6,1659.4,1124.0,2,1862381.8000000003,5620.0,0.0,0.0038642724091607758,budget
dollar_imbalance,M2K,2020-01-03,87,88,2020-01-03T10:15:00-05:00,2020-01-03T10:20:00-05:00,1659.5,1660.9,1655.7,1657.0,1062.0,2,1760661.8,-5310.0,0.0,-0.0015076137334663901,budget
dollar_imbalance,M2K,2020-01-03,89,134,2020-01-03T10:25:00-05:00,2020-01-03T14:10:00-05:00,1657.1,1666.5,1655.6,1657.5,9095.0,46,15102464.666666672,-4345.0,0.0,0.00024135642426953983,budget
dollar_imbalance,M2K,2020-01-03,135,138,2020-01-03T14:15:00-05:00,2020-01-03T14:30:00-05:00,1657.5,1660.1,1657.1,1660.0,693.0,4,1149847.6333333333,3465.0,0.0,0.0015071592905713386,budget
dollar_imbalance,M2K,2020-01-03,139,144,2020-01-03T14:35:00-05:00,2020-01-03T15:00:00-05:00,1659.8,1662.7,1659.2,1662.1,1143.0,6,1898562.733333333,3215.0,0.0,0.0013847499127168953,budget
dollar_imbalance,M2K,2020-01-03,145,150,2020-01-03T15:05:00-05:00,2020-01-03T15:30:00-05:00,1662.1,1662.4,1660.6,1662.0,1272.0,6,2113538.3333333335,2940.0,0.0,-6.016666167086624e-05,budget
dollar_imbalance,M2K,2020-01-03,151,154,2020-01-03T15:35:00-05:00,2020-01-03T15:50:00-05:00,1662.0,1664.9,1661.2,1663.0,1447.0,4,2406238.3666666667,3385.0,0.0,0.0006015037775341097,budget
dollar_imbalance,M2K,2020-01-03,155,155,2020-01-03T15:55:00-05:00,2020-01-03T15:55:00-05:00,1663.1,1664.3,1662.2,1662.9,907.0,1,1508461.933333333,-4535.0,0.0,-0.00012026458222537012,budget
dollar_imbalance,M2K,2020-01-06,156,156,2020-01-06T09:30:00-05:00,2020-01-06T09:30:00-05:00,1650.1,1652.4,1648.5,1650.7,1651.0,1,2725030.5333333337,8255.0,0.0,0.0003635482347361096,budget
dollar_imbalance,M2K,2020-01-06,157,157,2020-01-06T09:35:00-05:00,2020-01-06T09:35:00-05:00,1650.7,1652.2,1647.9,1650.1,907.0,1,1496610.4666666668,-4535.0,0.0,-0.0003635482347361237,budget
dollar_imbalance,M2K,2020-01-06,158,161,2020-01-06T09:40:00-05:00,2020-01-06T09:55:00-05:00,1650.2,1652.9,1647.7,1648.6,2264.0,4,3735297.4000000004,-5210.0,0.0,-0.000970049791115742,budget
dollar_imbalance,M2K,2020-01-06,162,171,2020-01-06T10:00:00-05:00,2020-01-06T10:45:00-05:00,1648.7,1659.8,1647.4,1659.0,3911.0,10,6465209.566666666,5705.0,0.0,0.006227912623311509,budget
dollar_imbalance,M2K,2020-01-06,172,211,2020-01-06T10:50:00-05:00,2020-01-06T14:05:00-05:00,1659.2,1664.6,1657.7,1664.2,5416.0,40,8999015.533333331,3200.0,0.0,0.003008968991066649,budget
dollar_imbalance,M2K,2020-01-06,212,221,2020-01-06T14:10:00-05:00,2020-01-06T14:55:00-05:00,1664.3,1667.8,1664.3,1667.3,1340.0,10,2232727.8,3030.0,0.0,0.0018009369737325088,budget
dollar_imbalance,M2K,2020-01-06,222,232,2020-01-06T15:00:00-05:00,2020-01-06T15:50:00-05:00,1667.3,1668.1,1663.8,1665.1,2322.0,11,3867806.9,-4200.0,0.0,-0.0013203698953421212,budget
dollar_imbalance,M2K,2020-01-06,233,233,2020-01-06T15:55:00-05:00,2020-01-06T15:55:00-05:00,1665.1,1666.0,1663.8,1666.0,784.0,1,1305569.0666666667,3920.0,0.0,0.0005403620557170883,budget
dollar_imbalance,M2K,2020-01-07,234,234,2020-01-07T09:30:00-05:00,2020-01-07T09:30:00-05:00,1660.1,1663.5,1659.4,1663.0,1107.0,1,1839797.0999999999,5535.0,0.0,0.001745358692897344,budget
dollar_imbalance,M2K,2020-01-07,235,235,2020-01-07T09:35:00-05:00,2020-01-07T09:35:00-05:00,1663.0,1663.9,1659.0,1659.3,723.0,1,1200710.2,-3615.0,0.0,-0.0022273735241857186,budget
dollar_imbalance,M2K,2020-01-07,236,236,2020-01-07T09:40:00-05:00,2020-01-07T09:40:00-05:00,1659.0,1659.5,1657.1,1657.9,695.0,1,1152425.8333333335,-3475.0,0.0,-0.0006632699450248779,budget
dollar_imbalance,M2K,2020-01-07,237,237,2020-01-07T09:45:00-05:00,2020-01-07T09:45:00-05:00,1657.3,1658.5,1655.5,1656.3,608.0,1,1007314.1333333333,-3040.0,0.0,-0.0006035731713896712,budget
dollar_imbalance,M2K,2020-01-07,238,241,2020-01-07T09:50:00-05:00,2020-01-07T10:05:00-05:00,1656.0,1659.4,1654.0,1658.9,2112.0,4,3499022.2333333334,4810.0,0.0,0.0017496761530243394,budget
dollar_imbalance,M2K,2020-01-07,242,246,2020-01-07T10:10:00-05:00,2020-01-07T10:30:00-05:00,1659.0,1662.7,1658.3,1660.1,2432.0,5,4037704.0,-4810.0,0.0,0.0006628303095857715,budget
dollar_imbalance,M2K,2020-01-07,247,250,2020-01-07T10:35:00-05:00,2020-01-07T10:50:00-05:00,1660.4,1664.5,1659.9,1663.9,961.0,4,1597875.566666667,4805.0,0.0,0.00210570724257776,budget
dollar_imbalance,M2K,2020-01-07,251,264,2020-01-07T10:55:00-05:00,2020-01-07T12:00:00-05:00,1664.2,1665.5,1659.3,1659.4,2716.0,14,4515252.433333333,-4850.0,0.0,-0.002888436236144597,budget
dollar_imbalance,M2K,2020-01-07,265,287,2020-01-07T12:05:00-05:00,2020-01-07T13:55:00-05:00,1659.4,1662.8,1658.5,1662.1,2421.0,23,4021078.8,4055.0,0.0,0.0016257718468793306,budget
dollar_imbalance,M2K,2020-01-07,288,310,2020-01-07T14:00:00-05:00,2020-01-07T15:50:00-05:00,1662.2,1662.2,1658.8,1660.5,2367.0,23,3931318.4333333336,-1975.0,0.0,-0.0010232643021247671,budget
dollar_imbalance,M2K,2020-01-07,311,311,2020-01-07T15:55:00-05:00,2020-01-07T15:55:00-05:00,1660.4,1661.0,1659.5,1660.0,702.0,1,1165437.0,-3510.0,0.0,-0.00024093482829488238,budget
