engine,symbol,session_date,start_idx,end_idx,open_time,close_time,open,high,low,close,volume,n_source_bars,notional,signed_notional,variance,log_return,reason
dollar_imbalance,MES,2020-01-02,0,57,2020-01-02T09:30:00-05:00,2020-01-02T14:15:00-05:00,3246.5,3251.0,3235.25,3243.75,109421.0,58,354822408.5000001,29035.0,0.0,-0.0008474250343427146,budget
dollar_imbalance,MES,2020-01-02,58,61,2020-01-02T14:20:00-05:00,2020-01-02T14:35:00-05:00,3244.0,3246.75,3244.0,3245.75,4469.0,4,14504103.0,22345.0,0.0,0.0005393120050592632,budget
dollar_imbalance,MES,2020-01-02,62,68,2020-01-02T14:40:00-05:00,2020-01-02T15:10:00-05:00,3246.0,3249.5,3245.75,3248.75,6731.0,7,21863257.916666668,17935.0,0.0,0.0008468378811635127,budget
dollar_imbalance,MES,2020-01-02,69,75,2020-01-02T15:15:00-05:00,2020-01-02T15:45:00-05:00,3248.75,3252.0,3248.0,3251.75,7854.0,7,25527065.666666668,23160.0,0.0,0.0009230059881500853,budget
dollar_imbalance,MES,2020-01-02,76,76,2020-01-02T15:50:00-05:00,2020-01-02T15:50:00-05:00,3251.75,3256.25,3251.75,3256.0,5167.0,1,16816862.666666664,25835.0,0.0,0.0013061351785806806,budget
dollar_imbalance,MES,2020-01-02,77,77,2020-01-02T15:55:00-05:00,2020-01-02T15:55:00-05:00,3256.25,3258.75,3254.25,3258.5,6760.0,1,22018446.666666664,33800.0,0.0,0.0006907402707579568,budget
dollar_imbalance,MES,2020-01-03,78,78,2020-01-03T09:30:00-05:00,2020-01-03T09:30:00-05:00,3221.25,3236.5,3220.75,3236.0,12368.0,1,39962038.66666667,61840.0,0.0,0.004568516211807564,budget
dollar_imbalance,MES,2020-01-03,79,79,2020-01-03T09:35:00-05:00,2020-01-03T09:35:00-05:00,3236.25,3236.5,3231.75,3234.0,7056.0,1,22819692.0,-35280.0,0.0,-0.0006954909286951978,budget
dollar_imbalance,MES,2020-01-03,80,80,2020-01-03T09:40:00-05:00,2020-01-03T09:40:00-05:00,3234.0,3239.25,3233.0,3238.75,5815.0,1,18823155.0,29075.0,0.0,0.001467691739267501,budget
dollar_imbalance,MES,2020-01-03,81,81,2020-01-03T09:45:00-05:00,2020-01-03T09:45:00-05:00,3238.75,3239.5,3236.75,3237.75,4844.0,1,15684872.0,-24220.0,0.0,-0.0003088087726231505,budget
dollar_imbalance,MES,2020-01-03,82,84,2020-01-03T09:50:00-05:00,2020-01-03T10:00:00-05:00,3238.0,3239.25,3230.25,3231.5,15157.0,3,49027373.166666664,-46635.0,0.0,-0.0020094295346302954,budget
dollar_imbalance,MES,2020-01-03,85,86,2020-01-03T10:05:00-05:00,2020-01-03T10:10:00-05:00,3231.5,3236.5,3230.25,3236.5,7574.0,2,24496195.833333332,37870.0,0.0,0.0015460732826147266,budget
dollar_imbalance,MES,2020-01-03,87,143,2020-01-03T10:15:00-05:00,2020-01-03T14:55:00-05:00,3236.5,3246.25,3231.0,3242.25,96036.0,57,311034620.4166667,26190.0,0.0,0.0017750342302858652,budget
dollar_imbalance,MES,2020-01-03,144,149,2020-01-03T15:00:00-05:00,2020-01-03T15:25:00-05:00,3242.0,3245.25,3237.75,3238.0,12658.0,6,41029748.416666664,-27590.0,0.0,-0.0012345680580409795,budget
dollar_imbalance,MES,2020-01-03,150,151,2020-01-03T15:30:00-05:00,2020-01-03T15:35:00-05:00,3238.0,3238.25,3234.5,3235.25,5106.0,2,16523491.666666668,-25530.0,0.0,-0.0008496505358009913,budget
dollar_imbalance,MES,2020-01-03,152,155,2020-01-03T15:40:00-05:00,2020-01-03T15:55:00-05:00,3235.25,3240.75,3234.0,3234.0,17280.0,4,55925554.916666664,-17060.0,0.0,-0.0003864435647273175,session_end
dollar_imbalance,MES,2020-01-06,156,156,2020-01-06T09:30:00-05:00,2020-01-06T09:30:00-05:00,3214.5,3222.0,3213.0,3221.0,10403.0,1,33483789.333333332,52015.0,0.0,0.002020045749457499,budget
dollar_imbalance,MES,2020-01-06,157,158,2020-01-06T09:35:00-05:00,2020-01-06T09:40:00-05:00,3221.0,3224.0,3219.5,3223.25,8495.0,2,27370018.583333332,42475.0,0.0,0.0006982969597480879,budget
dollar_imbalance,MES,2020-01-06,159,162,2020-01-06T09:45:00-05:00,2020-01-06T10:00:00-05:00,3223.25,3227.25,3222.25,3226.0,16619.0,4,53597772.5,37025.0,0.0,0.0008528123942072726,budget
dollar_imbalance,MES,2020-01-06,163,165,2020-01-06T10:05:00-05:00,2020-01-06T10:15:00-05:00,3225.75,3229.25,3224.5,3228.75,9027.0,3,29132153.75,45135.0,0.0,0.0009295840780948153,budget
dollar_imbalance,MES,2020-01-06,166,170,2020-01-06T10:20:00-05:00,2020-01-06T10:40:00-05:00,3228.75,3233.5,3228.25,3233.25,14134.0,5,45658317.16666667,44790.0,0.0,0.0013927578853034758,budget
dollar_imbalance,MES,2020-01-06,171,200,2020-01-06T10:45:00-05:00,2020-01-06T13:10:00-05:00,3233.5,3237.25,3230.5,3237.25,43336.0,30,140122645.58333334,43730.0,0.0,0.0011590620623019693,budget
dollar_imbalance,MES,2020-01-06,201,213,2020-01-06T13:15:00-05:00,2020-01-06T14:15:00-05:00,3237.25,3241.25,3235.5,3240.75,15489.0,13,50155222.49999999,25765.0,0.0,0.0010805805312027845,budget
dollar_imbalance,MES,2020-01-06,214,231,2020-01-06T14:20:00-05:00,2020-01-06T15:45:00-05:00,3241.0,3243.5,3238.75,3243.25,24192.0,18,78398293.58333334,34610.0,0.0,0.0006939893095744441,budget
dollar_imbalance,MES,2020-01-06,232,232,2020-01-06T15:50:00-05:00,2020-01-06T15:50:00-05:00,3243.25,3245.75,3243.25,3245.25,4155.0,1,13481936.25,20775.0,0.0,0.0006164753219819865,budget
dollar_imbalance,MES,2020-01-06,233,233,2020-01-06T15:55:00-05:00,2020-01-06T15:55:00-05:00,3245.5,3247.5,3244.0,3246.5,5145.0,1,16700670.0,25725.0,0.0,0.00030807147501816286,budget
dollar_imbalance,MES,2020-01-07,234,234,2020-01-07T09:30:00-05:00,2020-01-07T09:30:00-05:00,3239.75,3241.25,3236.25,3240.75,10004.0,1,32407124.333333332,50020.0,0.0,0.0003086181646284259,budget
dollar_imbalance,MES,2020-01-07,235,235,2020-01-07T09:35:00-05:00,2020-01-07T09:35:00-05:00,3240.75,3242.25,3235.25,3236.0,8376.0,1,27120092.0,-41880.0,0.0,-0.001466785301769924,budget
dollar_imbalance,MES,2020-01-07,236,236,2020-01-07T09:40:00-05:00,2020-01-07T09:40:00-05:00,3235.75,3236.75,3233.25,3233.5,7720.0,1,24970340.0,-38600.0,0.0,-0.0006955984359000847,budget
dollar_imbalance,MES,2020-01-07,237,237,2020-01-07T09:45:00-05:00,2020-01-07T09:45:00-05:00,3233.25,3234.75,3231.5,3234.5,7317.0,1,23660129.25,36585.0,0.0,0.0003865331886863184,budget
dollar_imbalance,MES,2020-01-07,238,241,2020-01-07T09:50:00-05:00,2020-01-07T10:05:00-05:00,3234.25,3239.0,3232.0,3237.25,18347.0,4,59365229.0,41015.0,0.0,0.0009271421509380855,budget
