engine,symbol,session_date,start_idx,end_idx,open_time,close_time,open,high,low,close,volume,n_source_bars,notional,signed_notional,variance,log_return,reason
dollar_imbalance,YM,2020-01-02,0,50,2020-01-02T09:30:00-05:00,2020-01-02T13:40:00-05:00,28629.0,28718.0,28592.0,28671.0,96910.0,51,2777749250.0000005,167650.0,0.0,0.0014659688489258187,budget
dollar_imbalance,YM,2020-01-02,51,59,2020-01-02T13:45:00-05:00,2020-01-02T14:25:00-05:00,28672.0,28710.0,28670.0,28703.0,6095.0,9,174854084.6666667,22035.0,0.0,0.0010806101269405252,budget
dollar_imbalance,YM,2020-01-02,60,62,2020-01-02T14:30:00-05:00,2020-01-02T14:40:00-05:00,28702.0,28745.0,28699.0,28737.0,3879.0,3,111415278.33333334,19395.0,0.0,0.0012186843201243385,budget
dollar_imbalance,YM,2020-01-02,63,75,2020-01-02T14:45:00-05:00,2020-01-02T15:45:00-05:00,28737.0,28765.0,28729.0,28764.0,13018.0,13,374209277.3333334,15540.0,0.0,0.0009391141713831758,budget
dollar_imbalance,YM,2020-01-02,76,76,2020-01-02T15:50:00-05:00,2020-01-02T15:50:00-05:00,28765.0,28814.0,28765.0,28814.0,3923.0,1,112973246.33333334,19615.0,0.0,0.001702009824024437,budget
dollar_imbalance,YM,2020-01-02,77,77,2020-01-02T15:55:00-05:00,2020-01-02T15:55:00-05:00,28813.0,28843.0,28795.0,28840.0,7553.0,1,217722778.0,37765.0,0.0,0.0009366382312769694,budget
dollar_imbalance,YM,2020-01-03,78,78,2020-01-03T09:30:00-05:00,2020-01-03T09:30:00-05:00,28507.0,28658.0,28494.0,28650.0,12071.0,1,345238647.3333334,60355.0,0.0,0.005003772009245045,budget
dollar_imbalance,YM,2020-01-03,79,79,2020-01-03T09:35:00-05:00,2020-01-03T09:35:00-05:00,28650.0,28653.0,28604.0,28621.0,4886.0,1,139866636.0,-24430.0,0.0,-0.001012729041873981,budget
dollar_imbalance,YM,2020-01-03,80,84,2020-01-03T09:40:00-05:00,2020-01-03T10:00:00-05:00,28621.0,28667.0,28572.0,28584.0,18364.0,5,525763247.6666667,-31020.0,0.0,-0.0012935933977659747,budget
dollar_imbalance,YM,2020-01-03,85,89,2020-01-03T10:05:00-05:00,2020-01-03T10:25:00-05:00,28583.0,28643.0,28573.0,28628.0,11467.0,5,328068078.3333334,33795.0,0.0,0.0015731243739909688,budget
dollar_imbalance,YM,2020-01-03,90,95,2020-01-03T10:30:00-05:00,2020-01-03T10:55:00-05:00,28628.0,28640.0,28584.0,28594.0,9275.0,6,265390734.33333334,-32005.0,0.0,-0.0011883542693786767,budget
dollar_imbalance,YM,2020-01-03,96,115,2020-01-03T11:00:00-05:00,2020-01-03T12:35:00-05:00,28595.0,28685.0,28551.0,28673.0,24506.0,20,701413424.3333333,33840.0,0.0,0.002724036049186731,budget
dollar_imbalance,YM,2020-01-03,116,144,2020-01-03T12:40:00-05:00,2020-01-03T15:00:00-05:00,28673.0,28682.0,28569.0,28671.0,29358.0,29,840670183.6666667,26540.0,0.0,-6.975446431400506e-05,budget
dollar_imbalance,YM,2020-01-03,145,147,2020-01-03T15:05:00-05:00,2020-01-03T15:15:00-05:00,28672.0,28672.0,28634.0,28643.0,3386.0,3,97014751.0,-16930.0,0.0,-0.0010119515824750648,budget
dollar_imbalance,YM,2020-01-03,148,150,2020-01-03T15:20:00-05:00,2020-01-03T15:30:00-05:00,28642.0,28649.0,28588.0,28603.0,5008.0,3,143321780.6666667,-25040.0,0.0,-0.0013625646269156168,budget
dollar_imbalance,YM,2020-01-03,151,155,2020-01-03T15:35:00-05:00,2020-01-03T15:55:00-05:00,28604.0,28639.0,28591.0,28595.0,12431.0,5,355615281.3333334,-20435.0,0.0,-0.00031469081886995346,budget
dollar_imbalance,YM,2020-01-06,156,156,2020-01-06T09:30:00-05:00,2020-01-06T09:30:00-05:00,28398.0,28467.0,28384.0,28449.0,8867.0,1,252118366.66666666,44335.0,0.0,0.0017942904175341724,budget
