engine,symbol,session_date,start_idx,end_idx,open_time,close_time,open,high,low,close,volume,n_source_bars,notional,signed_notional,variance,log_return,reason
range_budget,MCL,2021-07-12,0,5,2021-07-12T09:00:00-04:00,2021-07-12T09:25:00-04:00,73.63,73.84,73.51,73.8,278.0,6,20482.86,7964.226666666667,0.3299999999999983,0.0023061802258012936,budget
range_budget,MCL,2021-07-12,6,7,2021-07-12T09:30:00-04:00,2021-07-12T09:35:00-04:00,73.82,73.83,73.47,73.47,151.0,2,11116.706666666665,-11116.706666666665,0.35999999999999943,-0.004752537969666366,budget
range_budget,MCL,2021-07-12,8,8,2021-07-12T09:40:00-04:00,2021-07-12T09:40:00-04:00,73.49,73.6,73.24,73.55,157.0,1,11533.743333333332,11533.743333333332,0.35999999999999943,0.0008161045066666725,budget
range_budget,MCL,2021-07-12,9,11,2021-07-12T09:45:00-04:00,2021-07-12T09:55:00-04:00,73.59,73.66,73.29,73.33,198.0,3,14547.620000000003,-14547.620000000003,0.36999999999999034,-0.0035393448327995874,budget
range_budget,MCL,2021-07-12,12,13,2021-07-12T10:00:00-04:00,2021-07-12T10:05:00-04:00,73.31,73.63,73.23,73.47,200.0,2,14688.326666666666,4248.013333333334,0.3999999999999915,0.0021801343966909013,budget
range_budget,MCL,2021-07-12,14,17,2021-07-12T10:10:00-04:00,2021-07-12T10:25:00-04:00,73.53,73.93,73.5,73.81,281.0,4,20713.346666666665,20713.346666666665,0.4300000000000068,0.003800737573829988,budget
range_budget,MCL,2021-07-12,18,20,2021-07-12T10:30:00-04:00,2021-07-12T10:40:00-04:00,73.81,74.13,73.81,74.12,268.0,3,19831.666666666664,11395.666666666664,0.3199999999999932,0.004191177635198012,budget
range_budget,MCL,2021-07-12,21,21,2021-07-12T10:45:00-04:00,2021-07-12T10:45:00-04:00,74.14,74.14,73.84,73.86,123.0,1,9095.44,-9095.44,0.29999999999999716,-0.0037837882981690864,budget
range_budget,MCL,2021-07-12,22,29,2021-07-12T10:50:00-04:00,2021-07-12T11:25:00-04:00,73.87,74.09,73.78,74.09,461.0,8,34076.939999999995,13683.053333333333,0.3100000000000023,0.0029737788879191556,budget
range_budget,MCL,2021-07-12,30,44,2021-07-12T11:30:00-04:00,2021-07-12T12:40:00-04:00,74.08,74.23,73.94,74.0,566.0,15,41940.90666666667,6978.673333333331,0.29000000000000625,-0.0010804971337541407,budget
range_budget,MCL,2021-07-12,45,48,2021-07-12T12:45:00-04:00,2021-07-12T13:00:00-04:00,73.98,74.04,73.84,73.84,141.0,4,10422.900000000001,-5687.086666666668,0.20000000000000284,-0.0018941962097112233,budget
range_budget,MCL,2021-07-12,49,50,2021-07-12T13:05:00-04:00,2021-07-12T13:10:00-04:00,73.84,73.88,73.71,73.79,88.0,2,6492.786666666667,1622.646666666666,0.1700000000000017,-0.0006773691243213764,budget
range_budget,MCL,2021-07-12,51,56,2021-07-12T13:15:00-04:00,2021-07-12T13:40:00-04:00,73.81,73.81,73.65,73.65,152.0,6,11207.826666666666,-6340.226666666666,0.1599999999999966,-0.0021700808733216303,budget
range_budget,MCL,2021-07-12,57,60,2021-07-12T13:45:00-04:00,2021-07-12T14:00:00-04:00,73.67,73.85,73.67,73.85,155.0,4,11433.313333333332,11433.313333333332,0.1799999999999926,0.0024403482826664893,budget
range_budget,MCL,2021-07-12,61,62,2021-07-12T14:05:00-04:00,2021-07-12T14:10:00-04:00,73.83,73.87,73.71,73.77,69.0,2,5091.906666666666,-5091.906666666666,0.1600000000000108,-0.0008130081748632792,budget
range_budget,MCL,2021-07-12,63,64,2021-07-12T14:15:00-04:00,2021-07-12T14:20:00-04:00,73.78,74.04,73.72,73.99,152.0,2,11234.56,11234.56,0.3200000000000074,0.0028422567689298526,budget
range_budget,MCL,2021-07-12,65,65,2021-07-12T14:25:00-04:00,2021-07-12T14:25:00-04:00,73.96,74.2,73.94,74.1,154.0,1,11408.32,11408.32,0.2600000000000051,0.0018911257831171811,budget
range_budget,MCL,2021-07-13,66,67,2021-07-13T09:00:00-04:00,2021-07-13T09:05:00-04:00,73.73,74.1,73.7,73.99,618.0,2,45673.96666666667,45673.96666666667,0.3999999999999915,0.00352017693590018,budget
range_budget,MCL,2021-07-13,68,73,2021-07-13T09:10:00-04:00,2021-07-13T09:35:00-04:00,73.99,74.34,73.98,74.3,1166.0,6,86475.96666666666,37250.76666666666,0.35999999999999943,0.004181002786253854,budget
