engine,symbol,session_date,start_idx,end_idx,open_time,close_time,open,high,low,close,volume,n_source_bars,notional,signed_notional,variance,log_return,reason
vol_budget,MCL,2021-08-09,1320,1322,2021-08-09T09:00:00-04:00,2021-08-09T09:10:00-04:00,65.84,66.51,65.84,66.24,2638.0,3,174862.31,83359.10999999999,3.6753500862809213e-05,0.006056953708189683,budget
vol_budget,MCL,2021-08-09,1323,1328,2021-08-09T09:15:00-04:00,2021-08-09T09:40:00-04:00,66.24,66.57,66.12,66.33,2647.0,6,175566.72,12234.000000000007,3.6907138608658165e-05,0.0013577734604605105,budget
vol_budget,MCL,2021-08-09,1329,1333,2021-08-09T09:45:00-04:00,2021-08-09T10:05:00-04:00,66.35,66.51,65.92,65.94,2493.0,5,165106.32,-128243.52,3.4657464583676275e-05,-0.006198523134631451,budget
vol_budget,MCL,2021-08-09,1334,1340,2021-08-09T10:10:00-04:00,2021-08-09T10:40:00-04:00,65.94,65.98,65.54,65.78,3605.0,7,237037.25000000003,-85730.22333333334,3.411439730654363e-05,-0.0024293968826740665,budget
vol_budget,MCL,2021-08-09,1341,1345,2021-08-09T10:45:00-04:00,2021-08-09T11:05:00-04:00,65.75,66.48,65.67,66.45,2677.0,5,176795.12333333332,77988.43,4.740275277908275e-05,0.01059011410138045,budget
vol_budget,MCL,2021-08-09,1346,1357,2021-08-09T11:10:00-04:00,2021-08-09T12:05:00-04:00,66.42,66.79,66.18,66.69,3760.0,12,249961.45666666667,50862.13666666666,3.4058876491412617e-05,0.004056800695614248,budget
vol_budget,MCL,2021-08-09,1358,1382,2021-08-09T12:10:00-04:00,2021-08-09T14:10:00-04:00,66.7,66.75,65.92,66.0,4064.0,25,269877.0266666667,-75508.34666666666,3.6268469264423854e-05,-0.010550210895152486,budget
vol_budget,MCL,2021-08-09,1383,1385,2021-08-09T14:15:00-04:00,2021-08-09T14:25:00-04:00,65.99,66.6,65.97,66.52,968.0,3,64144.99,39684.28999999999,2.9694207015801237e-05,0.007999438929396774,session_end
vol_budget,MCL,2021-08-10,1386,1390,2021-08-10T09:00:00-04:00,2021-08-10T09:20:00-04:00,67.48,67.78,67.13,67.41,2924.0,5,197271.51999999996,-23771.413333333312,3.747371776501481e-05,-0.0010378828124201656,budget
vol_budget,MCL,2021-08-10,1391,1397,2021-08-10T09:25:00-04:00,2021-08-10T09:55:00-04:00,67.41,68.23,67.22,68.23,3939.0,7,266518.11333333334,83462.12000000001,5.098074886617785e-05,0.012090975961984935,budget
