engine,symbol,session_date,start_idx,end_idx,open_time,close_time,open,high,low,close,volume,n_source_bars,notional,signed_notional,variance,log_return,reason
vol_budget,YM,2020-01-30,1524,1524,2020-01-30T09:30:00-05:00,2020-01-30T09:30:00-05:00,28522.0,28614.0,28517.0,28596.0,9007.0,1,257381029.6666667,257381029.6666667,4.158868517741343e-06,0.002591128590030234,budget
vol_budget,YM,2020-01-30,1525,1528,2020-01-30T09:35:00-05:00,2020-01-30T09:50:00-05:00,28597.0,28667.0,28587.0,28621.0,19694.0,4,563863563.6666667,118773609.66666669,4.098896209841328e-06,0.0008388968998390233,budget
vol_budget,YM,2020-01-30,1529,1533,2020-01-30T09:55:00-05:00,2020-01-30T10:15:00-05:00,28622.0,28680.0,28586.0,28599.0,16876.0,5,483206560.6666666,-72480979.33333334,4.482311617851645e-06,-0.000803900709133292,budget
vol_budget,YM,2020-01-30,1534,1539,2020-01-30T10:20:00-05:00,2020-01-30T10:45:00-05:00,28598.0,28615.0,28479.0,28508.0,23049.0,6,657981851.9999999,-278624460.6666666,3.853163832472286e-06,-0.003152035671031245,budget
vol_budget,YM,2020-01-30,1540,1542,2020-01-30T10:50:00-05:00,2020-01-30T11:00:00-05:00,28508.0,28508.0,28434.0,28491.0,12576.0,3,357995904.0,81480418.0,4.370151646137593e-06,-0.0005965017106991216,budget
vol_budget,YM,2020-01-30,1543,1546,2020-01-30T11:05:00-05:00,2020-01-30T11:20:00-05:00,28492.0,28566.0,28477.0,28564.0,11897.0,4,339351547.3333334,22034527.333333343,4.074080037305566e-06,0.002523837570756198,budget
vol_budget,YM,2020-01-30,1547,1552,2020-01-30T11:25:00-05:00,2020-01-30T11:50:00-05:00,28563.0,28647.0,28546.0,28633.0,16736.0,6,478458955.3333334,302035868.6666666,3.572470556409657e-06,0.00244772483913488,budget
vol_budget,YM,2020-01-30,1553,1561,2020-01-30T11:55:00-05:00,2020-01-30T12:35:00-05:00,28632.0,28633.0,28478.0,28479.0,18708.0,9,534308410.00000006,-253295597.3333333,5.165123719881778e-06,-0.0053579998959536,budget
vol_budget,YM,2020-01-30,1562,1568,2020-01-30T12:40:00-05:00,2020-01-30T13:10:00-05:00,28478.0,28539.0,28463.0,28511.0,14276.0,7,406816421.6666666,203429593.66666666,3.738750441686061e-06,0.0011581183627860777,budget
vol_budget,YM,2020-01-30,1569,1578,2020-01-30T13:15:00-05:00,2020-01-30T14:00:00-05:00,28511.0,28552.0,28485.0,28536.0,12330.0,10,351698122.3333333,83536872.33333333,3.5901319489970683e-06,0.0008764703350015169,budget
vol_budget,YM,2020-01-30,1579,1586,2020-01-30T14:05:00-05:00,2020-01-30T14:40:00-05:00,28538.0,28659.0,28529.0,28557.0,20249.0,8,578602804.3333334,263322008.33333337,8.892721069770097e-06,0.0006655574288944824,budget
vol_budget,YM,2020-01-30,1587,1587,2020-01-30T14:45:00-05:00,2020-01-30T14:45:00-05:00,28555.0,28624.0,28528.0,28605.0,8512.0,1,243321194.6666667,243321194.6666667,4.070567456793989e-06,0.001749475603665801,budget
vol_budget,YM,2020-01-30,1588,1589,2020-01-30T14:50:00-05:00,2020-01-30T14:55:00-05:00,28605.0,28656.0,28564.0,28630.0,7562.0,2,216333792.0,292640.0,3.6930752504932036e-06,0.0008735913895316924,budget
vol_budget,YM,2020-01-30,1590,1593,2020-01-30T15:00:00-05:00,2020-01-30T15:15:00-05:00,28630.0,28687.0,28621.0,28675.0,15363.0,4,440233955.6666666,216664963.66666663,4.7495677228064014e-06,0.001570543905410795,budget
vol_budget,YM,2020-01-30,1594,1598,2020-01-30T15:20:00-05:00,2020-01-30T15:40:00-05:00,28676.0,28764.0,28674.0,28746.0,17124.0,5,491596346.6666666,301419142.6666666,3.943829127943839e-06,0.0024380911384143133,budget
vol_budget,YM,2020-01-30,1599,1601,2020-01-30T15:45:00-05:00,2020-01-30T15:55:00-05:00,28747.0,28825.0,28741.0,28802.0,13582.0,3,390916296.6666666,390916296.6666666,2.606954364580313e-06,0.001911415202531603,session_end
vol_budget,YM,2020-01-31,1602,1603,2020-01-31T09:30:00-05:00,2020-01-31T09:35:00-05:00,28645.0,28672.0,28562.0,28619.0,14979.0,2,428587387.0,-62697811.0,5.026202842283515e-06,-0.0009080749436515864,budget
vol_budget,YM,2020-01-31,1604,1607,2020-01-31T09:40:00-05:00,2020-01-31T09:55:00-05:00,28619.0,28619.0,28521.0,28572.0,15833.0,4,452256733.66666675,-298921603.0,4.098915618916336e-06,-0.0016436156241634704,budget
vol_budget,YM,2020-01-31,1608,1610,2020-01-31T10:00:00-05:00,2020-01-31T10:10:00-05:00,28573.0,28573.0,28491.0,28504.0,13773.0,3,392736081.0,-142286673.0,4.106782236128832e-06,-0.002417787676743923,budget
vol_budget,YM,2020-01-31,1611,1616,2020-01-31T10:15:00-05:00,2020-01-31T10:40:00-05:00,28503.0,28538.0,28439.0,28440.0,23248.0,6,662165458.0,-35057204.0,4.41893310510819e-06,-0.002212739957681957,budget
vol_budget,YM,2020-01-31,1617,1621,2020-01-31T10:45:00-05:00,2020-01-31T11:05:00-05:00,28440.0,28461.0,28381.0,28384.0,21207.0,5,602794152.3333334,-191931551.66666666,4.141015269961246e-06,-0.0019709988078711774,budget
vol_budget,YM,2020-01-31,1622,1625,2020-01-31T11:10:00-05:00,2020-01-31T11:25:00-05:00,28384.0,28422.0,28326.0,28347.0,19057.0,4,540745035.0,-117775259.0,4.420240618785862e-06,-0.001304401658570414,budget
vol_budget,YM,2020-01-31,1626,1628,2020-01-31T11:30:00-05:00,2020-01-31T11:40:00-05:00,28347.0,28390.0,28315.0,28385.0,10768.0,3,305395435.6666666,70030968.33333334,4.073684101314169e-06,0.0013396321540910254,budget
vol_budget,YM,2020-01-31,1629,1637,2020-01-31T11:45:00-05:00,2020-01-31T12:25:00-05:00,28385.0,28428.0,28351.0,28375.0,19938.0,9,566148318.3333334,-117532607.66666669,4.071122324838781e-06,-0.0003523608211227592,budget
vol_budget,YM,2020-01-31,1638,1640,2020-01-31T12:30:00-05:00,2020-01-31T12:40:00-05:00,28375.0,28375.0,28267.0,28339.0,13919.0,3,394050389.0,-99001142.33333334,5.338258639679156e-06,-0.0012695279766936677,budget
vol_budget,YM,2020-01-31,1641,1644,2020-01-31T12:45:00-05:00,2020-01-31T13:00:00-05:00,28339.0,28341.0,28255.0,28300.0,10553.0,4,298635577.3333334,153216476.0,4.68541686004647e-06,-0.0013771431756810718,budget
vol_budget,YM,2020-01-31,1645,1651,2020-01-31T13:05:00-05:00,2020-01-31T13:35:00-05:00,28299.0,28308.0,28216.0,28224.0,16397.0,7,463541499.6666666,-216715605.66666666,5.320926118456817e-06,-0.0026537885114449942,budget
vol_budget,YM,2020-01-31,1652,1659,2020-01-31T13:40:00-05:00,2020-01-31T14:15:00-05:00,28225.0,28299.0,28200.0,28282.0,17370.0,8,490774915.66666675,128233379.66666667,4.472302019200507e-06,0.0020174498498590375,budget
vol_budget,YM,2020-01-31,1660,1662,2020-01-31T14:20:00-05:00,2020-01-31T14:30:00-05:00,28282.0,28307.0,28222.0,28283.0,7427.0,3,209844182.33333334,47320534.333333336,4.991700804958979e-06,3.535755326089164e-05,budget
vol_budget,YM,2020-01-31,1663,1670,2020-01-31T14:35:00-05:00,2020-01-31T15:10:00-05:00,28284.0,28296.0,28188.0,28195.0,19473.0,8,549901037.3333334,-414969485.3333334,4.646485338824251e-06,-0.0031516164828488983,budget
vol_budget,YM,2020-01-31,1671,1676,2020-01-31T15:15:00-05:00,2020-01-31T15:40:00-05:00,28196.0,28218.0,28105.0,28181.0,20601.0,6,580373654.6666667,126570966.66666669,7.120513248810586e-06,-0.0005321319103164477,budget
vol_budget,YM,2020-01-31,1677,1679,2020-01-31T15:45:00-05:00,2020-01-31T15:55:00-05:00,28183.0,28221.0,28150.0,28183.0,18312.0,3,516160294.6666666,-275798144.6666666,3.990604146906929e-06,0.0,session_end
vol_budget,YM,2020-02-03,1680,1683,2020-02-03T09:30:00-05:00,2020-02-03T09:45:00-05:00,28308.0,28462.0,28295.0,28457.0,21392.0,4,607144280.0,607144280.0,4.857139565766795e-06,0.005249725788724249,budget
vol_budget,YM,2020-02-03,1684,1687,2020-02-03T09:50:00-05:00,2020-02-03T10:05:00-05:00,28458.0,28561.0,28454.0,28507.0,20701.0,4,590036160.6666666,267907060.66666663,5.160566974349247e-06,0.0017203550280038085,budget
vol_budget,YM,2020-02-03,1688,1698,2020-02-03T10:10:00-05:00,2020-02-03T11:00:00-05:00,28508.0,28573.0,28471.0,28499.0,26499.0,11,755717836.3333333,86092766.33333331,4.582422825965618e-06,-0.00031575069990606166,budget
vol_budget,YM,2020-02-03,1699,1706,2020-02-03T11:05:00-05:00,2020-02-03T11:40:00-05:00,28499.0,28520.0,28351.0,28375.0,18962.0,8,539268895.6666667,-309035506.3333333,5.848549109044763e-06,-0.004360523138151469,budget
vol_budget,YM,2020-02-03,1707,1716,2020-02-03T11:45:00-05:00,2020-02-03T12:30:00-05:00,28375.0,28419.0,28335.0,28362.0,18262.0,10,518188287.66666675,6439609.0,4.620202083658765e-06,-0.00045825476241243766,budget
vol_budget,YM,2020-02-03,1717,1727,2020-02-03T12:35:00-05:00,2020-02-03T13:25:00-05:00,28361.0,28404.0,28306.0,28340.0,13308.0,11,377438646.3333334,9073449.666666672,4.414525055272261e-06,-0.0007407277106289234,budget
vol_budget,YM,2020-02-03,1728,1740,2020-02-03T13:30:00-05:00,2020-02-03T14:30:00-05:00,28340.0,28385.0,28322.0,28326.0,16300.0,13,462158729.3333334,-12925029.333333328,4.38940316032363e-06,-0.0004941234703297142,budget
vol_budget,YM,2020-02-03,1741,1754,2020-02-03T14:35:00-05:00,2020-02-03T15:40:00-05:00,28326.0,28430.0,28324.0,28375.0,16522.0,14,469057760.0,10106552.000000015,4.514959218640361e-06,0.0017283650093620681,budget
vol_budget,YM,2020-02-03,1755,1757,2020-02-03T15:45:00-05:00,2020-02-03T15:55:00-05:00,28375.0,28376.0,28326.0,28343.0,9504.0,3,269389629.0,-35392573.0,9.648843491334125e-07,-0.0011283896962293652,session_end
vol_budget,YM,2020-02-04,1758,1762,2020-02-04T09:30:00-05:00,2020-02-04T09:50:00-05:00,28719.0,28788.0,28687.0,28778.0,26067.0,5,749141678.6666666,257260912.0,4.805042161614037e-06,0.002052281708899928,budget
vol_budget,YM,2020-02-04,1763,1770,2020-02-04T09:55:00-05:00,2020-02-04T10:30:00-05:00,28778.0,28812.0,28724.0,28796.0,20286.0,8,583645630.3333334,103194124.33333334,4.7326842567545125e-06,0.0006252822658307323,budget
vol_budget,YM,2020-02-04,1771,1788,2020-02-04T10:35:00-05:00,2020-02-04T12:00:00-05:00,28795.0,28842.0,28759.0,28825.0,28762.0,18,828410732.3333334,-90320910.33333333,4.5822791991457945e-06,0.0010413051964871304,budget
vol_budget,YM,2020-02-04,1789,1822,2020-02-04T12:05:00-05:00,2020-02-04T14:50:00-05:00,28825.0,28847.0,28772.0,28808.0,30377.0,34,875411391.6666665,26890858.333333343,4.631967167654301e-06,-0.0005899398085486237,budget
