engine,symbol,session_date,start_idx,end_idx,open_time,close_time,open,high,low,close,volume,n_source_bars,notional,signed_notional,variance,log_return,reason
volume_time,MGC,2020-01-30,1194,1251,2020-01-30T08:30:00-05:00,2020-01-30T13:15:00-05:00,1579.4,1584.7,1571.3,1583.4,865.0,58,1366024.9000000001,311889.3000000001,0.0,0.002529405673852735,session_end
volume_time,MGC,2020-01-31,1252,1294,2020-01-31T09:05:00-05:00,2020-01-31T12:35:00-05:00,1579.7,1586.9,1579.2,1584.4,81.0,43,128014.80000000003,93159.00000000001,0.0,0.0029708311727100673,session_end
volume_time,MGC,2020-02-03,1295,1301,2020-02-03T08:30:00-05:00,2020-02-03T09:00:00-05:00,1581.2,1583.8,1580.8,1583.0,976.0,7,1544476.1666666665,1126766.5666666667,0.0,0.0011377284584815843,budget
volume_time,MGC,2020-02-03,1302,1307,2020-02-03T09:05:00-05:00,2020-02-03T09:30:00-05:00,1583.0,1585.0,1582.5,1582.5,943.0,6,1493018.7,-644394.5,0.0,-0.0003159058626809386,budget
volume_time,MGC,2020-02-03,1308,1311,2020-02-03T09:35:00-05:00,2020-02-03T09:50:00-05:00,1582.5,1583.2,1579.3,1579.7,969.0,4,1532312.9666666668,-661937.9666666666,0.0,-0.001770919443279765,budget
volume_time,MGC,2020-02-03,1312,1313,2020-02-03T09:55:00-05:00,2020-02-03T10:00:00-05:00,1579.5,1583.2,1570.7,1576.5,1519.0,2,2394720.533333333,-1496352.7999999998,0.0,-0.0019011412570244187,budget
volume_time,MGC,2020-02-03,1314,1316,2020-02-03T10:05:00-05:00,2020-02-03T10:15:00-05:00,1576.5,1580.8,1576.5,1578.6,933.0,3,1472899.7000000002,813198.1666666669,0.0,0.0013311782891865607,budget
volume_time,MGC,2020-02-03,1317,1321,2020-02-03T10:20:00-05:00,2020-02-03T10:40:00-05:00,1578.4,1579.3,1575.6,1577.8,919.0,5,1449290.7666666666,-225495.8333333333,0.0,-0.0003802040474164899,budget
volume_time,MGC,2020-02-03,1322,1327,2020-02-03T10:45:00-05:00,2020-02-03T11:10:00-05:00,1577.7,1580.7,1577.4,1580.6,912.0,6,1440510.4666666668,382352.2666666666,0.0,0.0018364315074667036,budget
volume_time,MGC,2020-02-03,1328,1333,2020-02-03T11:15:00-05:00,2020-02-03T11:40:00-05:00,1580.6,1583.5,1580.1,1582.7,1047.0,6,1656072.7333333336,1251370.8666666667,0.0,0.0013277275683626672,budget
volume_time,MGC,2020-02-03,1334,1342,2020-02-03T11:45:00-05:00,2020-02-03T12:25:00-05:00,1582.8,1584.1,1580.2,1581.3,933.0,9,1476359.0666666667,-583861.2,0.0,-0.0009481369819983272,budget
volume_time,MGC,2020-02-03,1343,1354,2020-02-03T12:30:00-05:00,2020-02-03T13:25:00-05:00,1581.3,1582.9,1579.1,1582.4,854.0,12,1350221.3,351047.0333333334,0.0,0.0006953883391767983,session_end
volume_time,MGC,2020-02-04,1355,1357,2020-02-04T08:30:00-05:00,2020-02-04T08:40:00-05:00,1569.6,1571.6,1566.2,1567.4,1480.0,3,2321365.7333333334,-1470028.2666666666,0.0,-0.0014026141923343333,budget
volume_time,MGC,2020-02-04,1358,1360,2020-02-04T08:45:00-05:00,2020-02-04T08:55:00-05:00,1567.3,1569.2,1563.8,1564.0,1394.0,3,2182940.2333333334,-1405046.9,0.0,-0.002107751554766012,budget
volume_time,MGC,2020-02-04,1361,1362,2020-02-04T09:00:00-05:00,2020-02-04T09:05:00-05:00,1563.9,1564.8,1562.4,1563.4,1073.0,2,1677635.5,-276739.5,0.0,-0.0003197646559398884,budget
volume_time,MGC,2020-02-04,1363,1366,2020-02-04T09:10:00-05:00,2020-02-04T09:25:00-05:00,1563.3,1565.6,1562.1,1565.1,1041.0,4,1628336.2999999998,980785.1,0.0,0.0011507481131781498,budget
volume_time,MGC,2020-02-04,1367,1370,2020-02-04T09:30:00-05:00,2020-02-04T09:45:00-05:00,1565.0,1566.0,1560.5,1560.8,1564.0,4,2445262.033333333,-1117972.433333333,0.0,-0.0026873136653521577,budget
volume_time,MGC,2020-02-04,1371,1373,2020-02-04T09:50:00-05:00,2020-02-04T10:00:00-05:00,1560.7,1563.1,1560.0,1563.0,1254.0,3,1958284.4000000004,1958284.4000000004,0.0,0.001472612872968609,budget
volume_time,MGC,2020-02-04,1374,1377,2020-02-04T10:05:00-05:00,2020-02-04T10:20:00-05:00,1562.9,1563.2,1558.7,1559.2,1215.0,4,1896592.7333333332,-1071874.3333333333,0.0,-0.0023702006547968867,budget
volume_time,MGC,2020-02-04,1378,1379,2020-02-04T10:25:00-05:00,2020-02-04T10:30:00-05:00,1559.2,1559.3,1556.2,1557.5,1293.0,2,2013547.5,-241567.69999999984,0.0,-0.0010908975317428884,budget
volume_time,MGC,2020-02-04,1380,1381,2020-02-04T10:35:00-05:00,2020-02-04T10:40:00-05:00,1557.5,1557.5,1554.9,1555.9,863.0,2,1342723.6333333333,-334608.4333333331,0.0,-0.001027815340691143,budget
volume_time,MGC,2020-02-04,1382,1385,2020-02-04T10:45:00-05:00,2020-02-04T11:00:00-05:00,1555.8,1559.4,1555.4,1559.0,888.0,4,1383389.2,928170.9333333333,0.0,0.0020547072851028357,budget
volume_time,MGC,2020-02-04,1386,1391,2020-02-04T11:05:00-05:00,2020-02-04T11:30:00-05:00,1559.0,1559.9,1556.3,1556.6,999.0,6,1556576.3333333333,-256172.73333333328,0.0,-0.001540634532488782,budget
volume_time,MGC,2020-02-04,1392,1398,2020-02-04T11:35:00-05:00,2020-02-04T12:05:00-05:00,1556.7,1558.0,1554.3,1554.5,1036.0,7,1612249.6666666667,-774523.0000000001,0.0,-0.001414245542995209,budget
