n_trades,gross_profit,gross_loss,net_profit,profit_factor,win_rate,avg_win,avg_loss,expectancy,max_drawdown,max_drawdown_pct,sharpe,sortino,calmar,avg_bars_held,avg_mae,avg_mfe,max_consec_win,max_consec_loss,trades_per_month,top_month_share,deflated_sharpe,symbol,variant,kind
1275,166254.0761662738,232660.97785722264,-66406.90169094883,0.7145765383497148,0.4682352941176471,278.48253964199967,-343.6646644862964,-52.08384446348928,-65984.11574820562,-0.6626427177432861,-2.4243442364709438,-5.992178679746474,-1.006407389686884,2.756862745098039,5.552745098039216,5.198039215686275,12,11,20.238095238095237,0.0,-2.4243442364709438,ES,strategy__cost=fixed_tick__slip=1x__conf=0.50,strategy
871,115335.22710952049,163629.2477623463,-48294.02065282579,0.7048570392319616,0.46039035591274396,287.6190202232431,-348.8896540774974,-55.44663680002961,-48438.935299626006,-0.48679618405930325,-2.5418637075926283,-6.803339651752311,-0.9970083023934398,2.7898966704936856,5.66963260619977,5.251148105625718,17,10,13.825396825396826,0.0,-2.5418637075926283,ES,strategy__cost=fixed_tick__slip=1x__conf=0.65,strategy
1289,138825.4793730218,269908.3579534616,-131082.87858043975,0.5143430178511127,0.44453064391000774,242.27832351312708,-376.9669803819296,-101.6934667032116,-130585.09263769664,-1.3123837883904141,-4.769447039271044,-11.741885273038902,-1.00381196607276,2.6322730799069047,5.7057796741660205,4.911947245927076,9,12,20.46031746031746,0.0,-4.769447039271044,ES,strategy__cost=fixed_tick__slip=2x__conf=0.50,strategy
875,97256.47230354793,186747.06386337947,-89490.59155983158,0.5207925109585598,0.44,252.61421377544914,-381.1164568640397,-102.27496178266466,-89223.00620663188,-0.8973397185369736,-4.71499800550709,-12.282259710565674,-1.0029990622887106,2.656,5.806285714285714,4.998857142857143,14,10,13.88888888888889,0.0,-4.71499800550709,ES,strategy__cost=fixed_tick__slip=2x__conf=0.65,strategy
1298,113342.65319356097,311787.649782731,-198444.99658917007,0.3635251533296579,0.4152542372881356,210.28321557246932,-410.7874173685521,-152.88520538456862,-197872.21064642665,-1.990121241177276,-7.194029329072498,-17.39186067560423,-1.002894726555448,2.6117103235747305,5.910246533127889,4.678351309707242,8,15,20.603174603174605,0.0,-7.194029329072498,ES,strategy__cost=fixed_tick__slip=3x__conf=0.50,strategy
876,79492.10193017629,214111.0298477826,-134618.9279176063,0.3712657960063496,0.4132420091324201,219.5914417960671,-416.5584238283708,-153.67457524840904,-134234.39831361553,-1.3510504596144928,-7.10032104776573,-18.08142711949271,-1.002864613011431,2.625570776255708,6.059931506849315,4.7896689497716896,14,10,13.904761904761905,0.0,-7.10032104776573,ES,strategy__cost=fixed_tick__slip=3x__conf=0.65,strategy
1275,17315.03734886469,503209.94863174966,-485894.91128288495,0.034409171352722756,0.1411764705882353,96.19465193813717,-459.55246450388097,-381.0940480650078,-484878.1791726191,-4.8985873017727,-15.410061171580697,-16.556946781858457,-1.0020968815548696,2.756862745098039,5.552745098039216,5.198039215686275,5,46,20.238095238095237,0.0,-15.410061171580697,ES,strategy__cost=roll_spread__slip=1x__conf=0.50,strategy
871,11663.789845890888,359427.5943985487,-347763.8045526578,0.03245101385554048,0.12629161882893225,106.03445314446262,-472.3095852806159,-399.26958042785054,-346778.7032201898,-3.5022881191303212,-16.127670607828463,-17.45982652560857,-1.0028407203883063,2.7898966704936856,5.66963260619977,5.251148105625718,3,53,13.825396825396826,0.0,-16.127670607828463,ES,strategy__cost=roll_spread__slip=1x__conf=0.65,strategy
1275,181748.58131276962,215781.9354863452,-34033.35417357559,0.842278946581563,0.46980392156862744,303.420002191602,-319.20404657743376,-26.692826802804387,-33660.55360728438,-0.33786509907549783,-1.240843702297841,-3.0821401429649873,-1.0110752951552922,2.756862745098039,5.552745098039216,5.198039215686275,12,11,20.238095238095237,0.0,-1.240843702297841,ES,strategy__cost=impact__slip=1x__conf=0.50,strategy
871,125430.0094813426,151710.33098541485,-26280.32150407225,0.8267730263761748,0.46153846153846156,312.01494895856365,-323.47618546996773,-30.172584964491676,-28599.816446518802,-0.28727500463673017,-1.38403888303784,-3.710606528873718,-0.9188982577288924,2.7898966704936856,5.66963260619977,5.251148105625718,17,10,13.825396825396826,0.0,-1.38403888303784,ES,strategy__cost=impact__slip=1x__conf=0.65,strategy
