symbol,window,n_trades,net_pnl,win_rate
ES,covid,0,0.0,0.0
ES,rates,98,-9232.661427510287,0.40816326530612246
ES,banks,60,-4760.771055358191,0.4166666666666667
ES,open_30min,0,0.0,0.0
ES,close_30min,22,-1065.403167604427,0.45454545454545453
MES,covid,0,0.0,0.0
MES,rates,101,-5238.058392762643,0.48514851485148514
MES,banks,66,-6609.261902452838,0.3787878787878788
MES,open_30min,1,-400.0,0.0
MES,close_30min,28,-1329.439156986607,0.42857142857142855
MNQ,covid,0,0.0,0.0
MNQ,rates,75,-3124.2908728752154,0.4666666666666667
MNQ,banks,63,-969.5683581142257,0.49206349206349204
MNQ,open_30min,0,0.0,0.0
MNQ,close_30min,24,1242.0777027602417,0.5416666666666666
YM,covid,0,0.0,0.0
YM,rates,105,-1178.7005531529394,0.5238095238095238
YM,banks,60,-5065.509465138239,0.4166666666666667
YM,open_30min,0,0.0,0.0
YM,close_30min,21,233.94409689757595,0.5238095238095238
MYM,covid,0,0.0,0.0
MYM,rates,103,-5384.405598256424,0.46601941747572817
MYM,banks,51,237.2733332577136,0.5490196078431373
MYM,open_30min,1,415.0,1.0
MYM,close_30min,23,547.1251779277882,0.5652173913043478
RTY,covid,0,0.0,0.0
RTY,rates,59,-5413.716794548389,0.4067796610169492
RTY,banks,70,-6994.500470418083,0.4142857142857143
RTY,open_30min,1,820.0000000000182,1.0
RTY,close_30min,21,1040.0511893104908,0.6190476190476191
M2K,covid,0,0.0,0.0
M2K,rates,67,-6046.999255356453,0.43283582089552236
M2K,banks,66,-3622.415969706659,0.4696969696969697
M2K,open_30min,0,0.0,0.0
M2K,close_30min,23,-3083.419128266248,0.34782608695652173
MGC,covid,0,0.0,0.0
MGC,rates,50,1999.5129063962108,0.66
MGC,banks,30,-2937.6742103394595,0.43333333333333335
MGC,open_30min,0,0.0,0.0
MGC,close_30min,0,0.0,0.0
MCL,covid,0,0.0,0.0
MCL,rates,19,-470.58392608138433,0.5263157894736842
MCL,banks,35,-1189.6884835781761,0.5428571428571428
MCL,open_30min,0,0.0,0.0
MCL,close_30min,0,0.0,0.0
