symbol,entry_idx,entry_time,session_date,direction,contracts,entry_price,atr_at_entry,anchor,has_structural_override,stop_price,target_price,tp1_price,original_max_bars_hold,original_exit_idx,original_exit_reason,original_net_pnl,stop_w1,cf_w1_exit_idx,cf_w1_exit_reason,cf_w1_exit_price,cf_w1_pnl_gross,stop_w2,cf_w2_exit_idx,cf_w2_exit_reason,cf_w2_exit_price,cf_w2_pnl_gross,cf_w2_max_bars_hold,proj_close_low,proj_close_mid,proj_close_high,proj_completion_median,durability_window,durability_visited_zone,durability_reached_tp2,durability_tp2_first_idx,regime_label,vpin_gate,reason_codes,session_phase,entry_hour_et,entry_minute_et,family
ES,19598,2020-12-29 12:55:00-05:00,2020-12-29,-1,2,3715.75,4.194227464917924,3717.75,False,3719.847113732459,3699.5857305607,3712.107250855082,4,19598,stop,-484.7113732459093,3721.9442274649177,19598,stop,3721.9442274649177,-619.4227464917731,3726.138454929836,19605,time_stop,3722.75,-700.0,7,3699.5857305607,3712.107250855082,3718.703727185224,2.1862346700751267,12,True,False,-1,noise_mean_reverting,allow,,mid,12,55,sp500
ES,19605,2020-12-29 13:30:00-05:00,2020-12-29,1,2,3723.0,3.461514003285053,3722.0,False,3720.2692429983576,3740.022172893293,3727.1798689480624,4,19606,stop,-348.07570016423597,3718.538485996715,19609,time_stop,3724.0,100.0,3715.07697199343,19612,time_stop,3719.5,-350.0,7,3719.5456470795502,3727.1798689480624,3740.022172893293,2.010323484190461,12,True,False,-1,noise_mean_reverting,allow,,mid,13,30,sp500
ES,19613,2020-12-29 14:10:00-05:00,2020-12-29,-1,2,3719.5,3.0899354946998923,3720.75,False,3722.29496774735,3700.509339013844,3714.797646885226,7,19620,time_stop_after_tp1,335.1176557386907,3723.8399354947,19620,time_stop,3716.0,350.0,3726.9298709893997,19626,time_stop,3723.75,-425.0,13,3700.509339013844,3714.797646885226,3722.408274499603,4.237376741274065,21,True,False,-1,noise_mean_reverting,allow,,mid,14,10,sp500
ES,20079,2021-01-07 14:00:00-05:00,2021-01-07,1,2,3794.75,2.967382109872533,3792.25,False,3790.766308945064,3814.383463270484,3801.005994005185,6,20085,time_stop,-150.0,3789.2826178901273,20085,time_stop,3794.0,-75.0,3786.315235780255,20091,time_stop,3800.0,525.0,12,3793.256028740028,3801.005994005185,3814.383463270484,3.786739644382207,18,True,False,-1,noise_mean_reverting,allow,,mid,14,0,sp500
ES,20322,2021-01-12 14:45:00-05:00,2021-01-12,-1,1,3789.5,3.921500351564338,3793.0,False,3794.9607501757823,3762.2777616971257,3788.207816618493,5,20325,stop,-310.53750878911615,3796.921500351564,20327,time_stop,3791.25,-87.5,3800.843000703129,20331,time_stop,3792.0,-125.0,9,3762.2777616971257,3788.207816618493,3794.581180291133,2.824880322525725,15,True,False,-1,noise_mean_reverting,half_size,,mid,14,45,sp500
ES,20975,2021-01-25 13:40:00-05:00,2021-01-25,1,1,3842.25,5.4355377102126745,3839.0,False,3836.2822311448936,3868.889309368201,3848.5392262433215,4,20977,stop,-335.8884427553221,3833.564462289787,20978,stop,3833.564462289787,-434.2768855106442,3828.1289245795747,20982,time_stop,3836.0,-312.5,7,3838.0044387103294,3848.5392262433215,3868.889309368201,2.245934096266055,12,True,False,-1,noise_mean_reverting,allow,,mid,13,40,sp500
ES,21199,2021-01-28 12:50:00-05:00,2021-01-28,1,2,3821.75,4.671892978594812,3819.5,False,3817.1640535107026,3841.553238561655,3825.665363417116,4,21199,stop,-533.5946489297385,3814.8281070214052,21203,stop,3814.8281070214052,-692.1892978594769,3810.1562140428105,21206,time_stop,3816.25,-550.0,7,3818.606775992544,3825.665363417116,3841.553238561655,2.2084498623461863,12,True,False,-1,noise_mean_reverting,allow,,mid,12,50,sp500
ES,21224,2021-01-28 14:55:00-05:00,2021-01-28,-1,1,3806.75,5.070887293778251,3811.5,False,3814.0354436468892,3789.2021193348983,3801.145653755039,6,21230,time_stop,450.0,3816.5708872937785,21230,time_stop,3797.0,487.5,3821.6417745875565,21233,tp2,3789.2021193348983,877.3940332550865,11,3789.2021193348983,3801.145653755039,3807.9878313791455,3.4906420525699757,18,True,True,21233,noise_mean_reverting,allow,,mid,14,55,sp500
ES,21305,2021-01-29 15:10:00-05:00,2021-01-29,-1,1,3725.5,8.592011871402784,3802.1101058879685,True,3806.40611182367,3707.40134109938,3718.6035918654143,3,21308,time_stop,25.0,3810.7021177593715,21308,time_stop,3724.25,62.5,3819.294129630774,21311,time_stop,3715.25,512.5,6,3707.40134109938,3718.6035918654143,3724.4664524044015,1.7010431861517,9,True,True,21314,noise_mean_reverting,half_size,override_failed_auction_+1,close,15,10,sp500
ES,21426,2021-02-02 12:15:00-05:00,2021-02-02,1,2,3835.25,3.4841520206191707,3833.75,False,3832.0079239896904,3851.151580945281,3838.659032583871,7,21426,stop,-399.20760103095745,3830.265847979381,21427,stop,3830.265847979381,-498.4152020619149,3826.7816959587617,21439,stop,3826.7816959587617,-846.8304041238298,13,3830.295589987261,3838.659032583871,3851.151580945281,4.111921036693015,21,True,False,-1,noise_mean_reverting,allow,,mid,12,15,sp500
ES,21910,2021-02-10 13:35:00-05:00,2021-02-10,1,2,3904.5,3.501386081649049,3902.25,False,3900.4993069591756,3920.4134615779017,3906.60084106439,4,21912,stop,-475.06930408244443,3898.748613918351,21913,stop,3898.748613918351,-575.1386081648889,3895.2472278367018,21918,time_stop,3900.5,-400.0,8,3900.323077625466,3906.60084106439,3920.4134615779017,2.5842430601042423,12,True,False,-1,noise_mean_reverting,allow,,mid,13,35,sp500
ES,22328,2021-02-18 12:25:00-05:00,2021-02-18,1,2,3894.25,4.295723573440101,3892.25,True,3890.10213821328,3913.265878421642,3898.7921804113,4,22332,time_stop,125.0,3887.9542764265598,22332,time_stop,3896.25,200.0,3883.65855285312,22336,time_stop,3893.5,-75.0,8,3891.4926991923994,3898.7921804113,3913.265878421642,2.631469989446733,12,True,False,-1,noise_mean_reverting,half_size,override_failed_auction_-1,mid,12,25,sp500
ES,22955,2021-03-02 12:40:00-05:00,2021-03-02,1,1,3890.5,5.402191691488684,3886.25,False,3883.5489041542555,3900.6821760833527,3890.7278922093424,4,22959,time_stop,100.0,3880.8478083085115,22959,time_stop,3893.25,137.5,3875.4456166170226,22963,time_stop,3894.0,175.0,8,3885.677150571595,3890.7278922093424,3900.6821760833527,2.5668900301534854,12,True,False,-1,noise_mean_reverting,allow,,mid,12,40,sp500
ES,22962,2021-03-02 13:15:00-05:00,2021-03-02,1,1,3897.0,4.74705160326837,3892.75,False,3890.376474198366,3908.532028737272,3897.015065203151,6,22968,time_stop,62.5,3888.0029483967314,22968,time_stop,3899.0,100.0,3883.2558967934633,22973,time_stop,3887.5,-475.0,11,3885.911780210848,3897.015065203151,3908.532028737272,3.3764431280745417,18,True,False,-1,noise_mean_reverting,allow,,mid,13,15,sp500
ES,23030,2021-03-03 12:25:00-05:00,2021-03-03,-1,1,3851.5,5.99874850930908,3853.75,False,3856.7493742546544,3838.7136777608057,3851.059847590923,5,23035,stop,-299.96871273272063,3859.7487485093093,23035,time_stop,3852.25,-37.5,3865.747497018618,23039,time_stop,3849.25,112.5,9,3838.7136777608057,3851.059847590923,3856.2460565406736,2.995789118737901,15,True,False,-1,noise_mean_reverting,allow,,mid,12,25,sp500
ES,23036,2021-03-03 12:55:00-05:00,2021-03-03,-1,1,3852.0,5.766753284993294,3855.5,False,3858.383376642497,3839.207120904648,3849.948888045399,6,23040,stop,-356.6688321248421,3861.2667532849932,23042,time_stop,3856.75,-237.5,3867.0335065699865,23047,time_stop,3842.5,475.0,11,3839.207120904648,3849.948888045399,3855.05214826672,3.416674571064506,18,True,True,23049,noise_mean_reverting,allow,,mid,12,55,sp500
ES,23062,2021-03-03 15:05:00-05:00,2021-03-03,-1,1,3841.25,7.095433958761905,3842.75,False,3846.2977169793808,3820.217459873973,3833.4250497142,4,23066,time_stop,400.0,3849.845433958762,23066,time_stop,3832.5,437.5,3856.940867917524,23069,time_stop,3832.75,425.0,7,3820.217459873973,3833.4250497142,3840.5680430198313,2.066668456477614,12,True,True,23072,noise_mean_reverting,half_size,,close,15,5,sp500
ES,23210,2021-03-05 14:25:00-05:00,2021-03-05,1,1,3811.5,9.58391657984474,3804.25,False,3799.458041710078,3825.5183675543376,3812.4727656092814,4,23211,tp2,663.4183777168801,3794.6660834201552,23211,tp2,3825.5183675543376,700.9183777168801,3785.0821668403105,23211,tp2,3825.5183675543376,700.9183777168801,8,3806.771613233697,3812.4727656092814,3825.5183675543376,2.448703485808354,12,True,True,23211,noise_mean_reverting,allow,,mid,14,25,sp500
ES,23218,2021-03-05 15:05:00-05:00,2021-03-05,1,1,3836.5,7.887951045409548,3833.25,False,3829.306024477295,3852.680606170279,3838.3552395622414,4,23219,stop,-397.1987761352466,3825.3620489545906,23222,time_stop,3835.0,-75.0,3817.4740979091807,23226,time_stop,3843.75,362.5,8,3828.688205213672,3838.3552395622414,3852.680606170279,2.504063929558098,12,True,False,-1,noise_mean_reverting,half_size,,close,15,5,sp500
ES,23262,2021-03-08 12:15:00-05:00,2021-03-08,1,2,3859.0,8.639391471953502,3859.75,False,3855.430304264023,3875.703664032064,3863.1550849314367,5,23262,stop,-431.9695735976893,3851.1106085280467,23265,tp2,3875.703664032064,1670.3664032063898,3842.471217056093,23265,tp2,3875.703664032064,1670.3664032063898,9,3856.103560152259,3863.1550849314367,3875.703664032064,2.78335242183122,15,True,True,23265,noise_mean_reverting,allow,,mid,12,15,sp500
ES,23269,2021-03-08 12:50:00-05:00,2021-03-08,1,1,3876.25,7.417078651791192,3872.75,False,3869.041460674104,3895.817080525424,3879.376350572796,5,23270,stop,-397.92696629478996,3865.332921348209,23274,time_stop,3876.25,0.0,3857.9158426964177,23278,time_stop,3868.5,-387.5,9,3868.851941979967,3879.376350572796,3895.817080525424,2.9170789287257186,15,True,False,-1,noise_mean_reverting,allow,,mid,12,50,sp500
ES,23442,2021-03-10 14:15:00-05:00,2021-03-10,-1,1,3907.0,5.669087184627658,3901.0,True,3903.834543592314,3898.721723141782,3905.957208903757,6,23442,stop,120.77282038430894,3906.6690871846276,23442,stop,3906.6690871846276,16.545640768617886,3912.3381743692553,23448,stop,3912.3381743692553,-266.9087184627642,12,3898.721723141782,3905.957208903757,3917.9512271369017,3.731577154530364,18,True,True,23457,noise_mean_reverting,allow,override_failed_auction_+1,mid,14,15,sp500
ES,23454,2021-03-10 15:15:00-05:00,2021-03-10,-1,1,3904.25,5.27586437359985,3907.25,True,3909.8879321868,3886.2730672247462,3899.663294254508,5,23459,time_stop,112.5,3912.5258643735997,23459,time_stop,3901.25,150.0,3917.8017287472,23462,session_end,3897.25,350.0,10,3886.2730672247462,3899.663294254508,3912.343278772594,3.1916971369603058,15,True,False,-1,noise_mean_reverting,allow,override_failed_auction_+1,close,15,15,sp500
ES,24234,2021-03-24 15:15:00-04:00,2021-03-24,1,1,3903.25,5.6090210433782195,3903.75,False,3900.9454894783107,3922.709428624684,3909.791906135928,5,24234,stop,-152.72552608446404,3898.140978956622,24235,stop,3898.140978956622,-255.45105216890533,3892.531957913244,24237,stop,3892.531957913244,-535.9021043378107,10,3903.449196894404,3909.791906135928,3922.709428624684,3.1150313723179863,15,True,False,-1,noise_mean_reverting,allow,,close,15,15,sp500
ES,24235,2021-03-24 15:20:00-04:00,2021-03-24,1,1,3904.5,5.789114277342199,3903.0,False,3900.105442861329,3922.709428624684,3909.547219212722,5,24235,stop,-257.22785693355945,3897.2108857226576,24235,stop,3897.2108857226576,-364.4557138671189,3891.4217714453157,24238,stop,3891.4217714453157,-653.9114277342151,9,3903.048367646293,3909.547219212722,3922.709428624684,2.886480612696757,15,True,False,-1,noise_mean_reverting,allow,,close,15,20,sp500
ES,24236,2021-03-24 15:25:00-04:00,2021-03-24,-1,1,3899.75,5.642531965214371,3904.25,False,3907.071265982607,3881.8972803292327,3894.1806491704815,5,24241,time_stop,637.5,3909.8925319652144,24241,time_stop,3886.25,675.0,3915.535063930429,24242,tp2,3881.8972803292327,892.6359835383664,10,3881.8972803292327,3894.1806491704815,3901.046753762251,3.052781698930844,15,True,True,24242,noise_mean_reverting,allow,,close,15,25,sp500
ES,25171,2021-04-12 15:20:00-04:00,2021-04-12,-1,1,4111.25,2.6735006810656654,4111.25,False,4112.5867503405325,4082.67142696449,4105.337574820384,9,25171,stop,-104.33751702662448,4113.923500681066,25171,stop,4113.923500681066,-133.67503405329444,4116.597001362132,25174,stop,4116.597001362132,-267.3500681065889,18,4082.67142696449,4105.337574820384,4112.44464309685,5.922797239695932,27,True,False,-1,noise_mean_reverting,allow,,close,15,20,sp500
ES,25291,2021-04-14 12:20:00-04:00,2021-04-14,1,1,4137.5,3.217887845271852,4134.25,False,4132.641056077364,4168.013170132787,4144.684659625254,4,25295,time_stop,50.0,4131.032112154729,25295,time_stop,4139.25,87.5,4127.814224309456,25298,time_stop,4138.75,62.5,7,4136.303049593298,4144.684659625254,4168.013170132787,2.128295637452456,12,True,False,-1,noise_mean_reverting,allow,,mid,12,20,sp500
ES,25526,2021-04-19 12:25:00-04:00,2021-04-19,-1,1,4153.25,5.672901419515967,4154.75,False,4157.586450709758,4128.096403378212,4145.29062928199,3,25529,time_stop,387.5,4160.422901419516,25529,time_stop,4144.75,425.0,4166.095802839032,25531,time_stop,4146.25,350.0,5,4128.096403378212,4145.29062928199,4152.7258066903405,1.6210982428188483,9,True,False,-1,noise_mean_reverting,allow,,mid,12,25,sp500
ES,25534,2021-04-19 13:05:00-04:00,2021-04-19,1,1,4149.75,4.893268071056131,4146.25,False,4143.803365964472,4167.019780749739,4155.126426326991,4,25538,time_stop,0.0,4141.356731928944,25538,time_stop,4150.5,37.5,4136.463463857887,25542,time_stop,4152.0,112.5,8,4147.508459911604,4155.126426326991,4167.019780749739,2.4632504220031963,12,True,False,-1,noise_mean_reverting,half_size,,mid,13,5,sp500
ES,25541,2021-04-19 13:40:00-04:00,2021-04-19,1,1,4154.5,4.168968410847337,4151.25,False,4149.165515794576,4171.148566270766,4158.802884426912,4,25545,stop,-304.22421027119526,4147.081031589153,25545,time_stop,4150.75,-187.5,4142.912063178305,25549,time_stop,4154.75,12.5,8,4148.585684235234,4158.802884426912,4171.148566270766,2.3912268793275744,12,True,False,-1,noise_mean_reverting,allow,,mid,13,40,sp500
